doc,term,tfidf
中央_2014,改革,0.2617120926445579
中央_2014,经济,0.23953310174247675
中央_2014,社会,0.19517511993831438
中央_2014,制度,0.17743192721664944
中央_2014,基本,0.14638133995373578
中央_2014,实施,0.14194554177331956
中央_2014,就业,0.12863814723207084
中央_2014,企业,0.1242023490516546
中央_2014,文化,0.1108949545104059
中央_2014,创新,0.10645915632998966
中央_2014,农业,0.10645915632998966
中央_2014,农村,0.10645915632998966
中央_2014,政策,0.10202335814957343
中央_2014,投资,0.10202335814957343
中央_2014,全面,0.09758755996915719
中央_2015,改革,0.27396188434507923
中央_2015,经济,0.26111992101640363
中央_2015,社会,0.17550683215856636
中央_2015,创新,0.1498229055012152
中央_2015,全面,0.1498229055012152
中央_2015,实施,0.1498229055012152
中央_2015,企业,0.12841963328675587
中央_2015,政策,0.11129701551518843
中央_2015,扩大,0.11129701551518843
中央_2015,制度,0.10701636107229656
中央_2015,增加,0.1027357066294047
中央_2015,项目,0.09417439774362098
中央_2015,就业,0.09417439774362098
中央_2015,试点,0.09417439774362098
中央_2015,基本,0.08989374330072912
中央_2016,经济,0.26090835435986387
中央_2016,改革,0.2453317361891257
中央_2016,创新,0.22586096347570303
中央_2016,实施,0.14797787262201234
中央_2016,企业,0.14018956353664327
中央_2016,政策,0.14018956353664327
中央_2016,社会,0.13240125445127418
中央_2016,中国,0.12461294536590513
中央_2016,全面,0.11293048173785152
中央_2016,制度,0.10514217265248245
中央_2016,扩大,0.10124801810979792
中央_2016,人民,0.09345970902442884
中央_2016,就业,0.09345970902442884
中央_2016,农村,0.0895655544817443
中央_2016,国家,0.08567139993905977
中央_2017,改革,0.2814186043210478
中央_2017,经济,0.2152024621278601
中央_2017,创新,0.14898631993467237
中央_2017,全面,0.14484781104759814
中央_2017,企业,0.14484781104759814
中央_2017,中国,0.13243228438637544
中央_2017,就业,0.1282937754993012
中央_2017,实施,0.1282937754993012
中央_2017,深化,0.12001675772515275
中央_2017,政策,0.11587824883807851
中央_2017,服务,0.11173973995100428
中央_2017,国家,0.10760123106393005
中央_2017,人民,0.10760123106393005
中央_2017,社会,0.10346272217685581
中央_2017,制度,0.10346272217685581
中央_2018,改革,0.31629665680373353
中央_2018,经济,0.22592618343123824
中央_2018,创新,0.18827181952603186
中央_2018,全面,0.18450638313551124
中央_2018,中国,0.15061745562082549
中央_2018,企业,0.13932114644926358
中央_2018,五年,0.12865245932278657
中央_2018,社会,0.12425940088718103
中央_2018,制度,0.11672852810613976
中央_2018,实施,0.11296309171561912
中央_2018,深化,0.10166678254405721
中央_2018,教育,0.10166678254405721
中央_2018,服务,0.09413590976301593
中央_2018,政策,0.09413590976301593
中央_2018,增加,0.09413590976301593
中央_2019,改革,0.3511733054883948
中央_2019,企业,0.19467215847726232
中央_2019,经济,0.1755866527441974
中央_2019,创新,0.15650114701113246
中央_2019,政策,0.1450498435712935
中央_2019,全面,0.13741564127806752
中央_2019,中国,0.13741564127806752
中央_2019,深化,0.12978143898484154
中央_2019,服务,0.11833013554500259
中央_2019,基本,0.11069593325177662
中央_2019,就业,0.11069593325177662
中央_2019,社会,0.10306173095855065
中央_2019,市场,0.09161042751871168
中央_2019,群众,0.09161042751871168
中央_2019,实施,0.0877933263720987
中央_2020,疫情,0.27816880199324745
中央_2020,就业,0.23557890141269652
中央_2020,企业,0.1932955088514433
中央_2020,经济,0.14497163163858248
中央_2020,保障,0.14497163163858248
中央_2020,改革,0.13289066233536728
中央_2020,政策,0.13289066233536728
中央_2020,防控,0.13047962797565427
中央_2020,中国,0.12080969303215207
中央_2020,基本,0.11476920838054447
中央_2020,增加,0.11476920838054447
中央_2020,民生,0.10872872372893685
中央_2020,服务,0.10872872372893685
中央_2020,脱贫,0.10438370238052343
中央_2020,全面,0.10268823907732925
中央_2021,经济,0.1840708152894874
中央_2021,实施,0.17979009865484816
中央_2021,企业,0.1755093820202089
中央_2021,创新,0.1712286653855697
中央_2021,改革,0.1541057988470127
中央_2021,体系,0.14554436557773423
中央_2021,就业,0.14554436557773423
中央_2021,社会,0.14126364894309498
中央_2021,国家,0.12842149903917727
中央_2021,服务,0.12414078240453802
中央_2021,政策,0.12414078240453802
中央_2021,全面,0.11986006576989877
中央_2021,稳定,0.11986006576989877
中央_2021,中国,0.11557934913525954
中央_2021,市场主体,0.1080764741176024
中央_2022,政策,0.20153930063276504
中央_2022,经济,0.19706064950759247
中央_2022,企业,0.1925819983824199
中央_2022,改革,0.15675278938103945
中央_2022,服务,0.15227413825586691
中央_2022,实施,0.15227413825586691
中央_2022,就业,0.15227413825586691
中央_2022,创新,0.14779548713069435
中央_2022,保障,0.13435953375517667
中央_2022,加大,0.12540223150483157
中央_2022,疫情,0.1131022112602568
中央_2022,国家,0.11196627812931391
中央_2022,稳定,0.10748762700414134
中央_2022,强化,0.10748762700414134
中央_2022,社会,0.10748762700414134
中央_2023,经济,0.2430407903193694
中央_2023,实施,0.19275648887398264
中央_2023,政策,0.15923362124372478
中央_2023,疫情,0.14939544561649024
中央_2023,改革,0.1466625458823781
中央_2023,创新,0.13828182897481364
中央_2023,全面,0.1340914705210314
中央_2023,企业,0.1340914705210314
中央_2023,基本,0.1340914705210314
中央_2023,保障,0.12990111206724916
中央_2023,就业,0.1215203951596847
中央_2023,稳定,0.1215203951596847
中央_2023,国家,0.11313967825212023
中央_2023,社会,0.10894931979833801
中央_2023,民生,0.09218788598320908
中央_2024,政策,0.22655792225969143
中央_2024,实施,0.19236050003181349
中央_2024,经济,0.19236050003181349
中央_2024,创新,0.15816307780393551
中央_2024,服务,0.12824033335454232
中央_2024,全面,0.12824033335454232
中央_2024,国家,0.12396565557605757
中央_2024,高质量,0.11969097779757283
中央_2024,改革,0.11969097779757283
中央_2024,产业,0.11114162224060334
中央_2024,就业,0.11114162224060334
中央_2024,行动,0.11114162224060334
中央_2024,优化,0.1068669444621186
中央_2024,深化,0.1068669444621186
中央_2024,落实,0.1068669444621186
中央_2025,经济,0.2119567697599689
中央_2025,实施,0.17527194422458967
中央_2025,政策,0.1671197607722832
中央_2025,改革,0.14673930214151693
中央_2025,创新,0.1426632104153637
中央_2025,服务,0.1426632104153637
中央_2025,扩大,0.13043493523690394
中央_2025,机制,0.13043493523690394
中央_2025,制度,0.1263588435107507
中央_2025,社会,0.12228275178459745
中央_2025,全面,0.1182066600584442
中央_2025,体系,0.1182066600584442
中央_2025,优化,0.1182066600584442
中央_2025,就业,0.11413056833229095
中央_2025,深化,0.11005447660613771
